	time	id	sentiment	topic	like	text
135	Mon Nov 29 23:55:32 +0000 2021	1.46547e+18	+	CV	0	Day 14. FAILURE. Still had enough time to work out because I worked from home to get my covid booster.
139	Mon Nov 29 23:57:56 +0000 2021	1.46547e+18	+	CY	0	@kristina_wong I haven't met a Catholic priest who objects to vaccination.
140	Mon Nov 29 23:57:25 +0000 2021	1.46547e+18	+	CS	0	@RealCandaceO still better than getting Coronavirus.
156	Mon Nov 29 23:55:25 +0000 2021	1.46547e+18	+	CL	2	China's Xi pledges another 1 bln COVID-19 vaccine doses for Africa https://t.co/SFGwLUtTc0
157	Mon Nov 29 23:59:43 +0000 2021	1.46547e+18	+	CV	0	@JCiparelli My first 2 I had mild side effects and real tired.  But the booster was fine.  I have Moderna for all three. Good luck
160	Mon Nov 29 23:56:05 +0000 2021	1.46547e+18	+	CR	0	@ColinDMello Not to worry.  @JustinTrudeau is banning all flights from AFRICA.  Also @fordnation is not easing anything.  It’s time to get vigilant.  booster time for 🇨🇦 👍 ~ @pfizer
164	Mon Nov 29 23:56:56 +0000 2021	1.46547e+18	+	CV	0	"@bellememorie I think I’m going to stick with Pfizer, but I have a couple of months to do some research. I got Covid about 6 months ago. Nasty disease. I almost didn’t make it."
172	Mon Nov 29 23:58:39 +0000 2021	1.46547e+18	+	CY	1	".@UNDP  @PNUDLAC Director Luis Felipe Lopez-Calva launches new @UNDP-@WorldBank regional study on #COVID-19 impact with @LFLopezCalva @CF_Jaramillo @MelendezMarcela, Ximena del Carpio. @PNUDLAC @BancoMundial phone survey is focus: https://t.co/zLn7BSLliq https://t.co/vUGkPhN4oQ"
173	Mon Nov 29 23:56:28 +0000 2021	1.46547e+18	+	CV	7	"Was feeling kind of rough today. Sore, tired, runny nose. Did a COVID-19 test. Thankfully it's negative so I'm probably just exhausted from the past few weeks.  TY @CueHealth for making this possible from home.♥️  I'm 3x💉 Pfizer and I wear a mask. Please get the 💉 or a booster! https://t.co/mhTHo0pbrA"
182	Mon Nov 29 23:54:58 +0000 2021	1.46547e+18	+	PL	0	"What I'm trying to say is we have, for the most part, a very kind and accepting fanbase. It's honestly lovely. The concert was amazing. ""Fake Love"" was one highlight, and I was exhausted by the end as I am old and still have long Covid but IT WAS WORTH IT. 6/"
