	time	id	sentiment	topic	like	text
69	Sun Nov 28 23:59:28 +0000 2021	1465108109915873286	/	CS	5	Today's Covid-19 numbers will come around 1pm in a written statement. All you need to know will be here:   https://t.co/fbX10LoMCh
70	Sun Nov 28 23:59:27 +0000 2021	1465108107470770176	-	CV	0	"@StaffSausage I felt like absolute garbage after the 2nd shot for a few weeks,  so I was scared of the booster. But I had ZERO side effects. It was a huge relief! I even got the flu and the covid booster on the same day, and was totally fine."
71	Sun Nov 28 23:59:27 +0000 2021	1465108106694692866	-	CV	1	"@immunotoxPhD @ogilville1 @swedishchf @SultaneAlexand1 @Sara4843 @tenebra99 @deralteGaukler @janem1276 @doom37455413 @raouldukeerik @AndrewLazarus4 @PaulDesmoParker @handmadekathy @namagoy @sammy44231 @Tony__Heller @mcfunny @satekor @provaxtexan @Monstercoyliar @andylumm @richykirsh @_mamadeb @JimeeLiberty @rpagano697 @kath2cats @Kathmarval @Fannyi5 @sailor_man_dan @TechARP @SkepticalMutant @runhack @CarvilleDean @ConsequentialBr @MichaelBuerger8 @WendyOrent @MsTrixter @DevoDalek @FactPhily @JamesLynchGTC @quintic @SoupTomatoSoup @WorldFullofJunk @andnowsheisnot @TyotoRiffle @pandemichoax21 @sasha13043803 @AriellaBrown @pds1st @kevinault ""Incorrect. Like not even remotely on target.""  What percentage of unvaccinated people die ""from"" covid?"
72	Sun Nov 28 23:59:27 +0000 2021	1465108105130397703	-	CS	0	Of course this new strain will reach us - close all Airlines and international travel   Biden briefed by COVID team as omicron variant spreads in Australia and Europe : Coronavirus Updates   https://t.co/MGcAV4A5gt
73	Sun Nov 28 23:59:27 +0000 2021	1465108104790646787	+	CS	3	Evidence that devices do remove Covid from air (in hospital environment) https://t.co/ec7LCHiw7V
74	Sun Nov 28 23:59:26 +0000 2021	1465108103628660737	/	CV	2	@keepsmiling5942 @therealballsy Seems lots of answers is due to vaccination protocols
75	Sun Nov 28 23:59:25 +0000 2021	1465108099539349516	/	CV	0	@mvankerkhove @oxfamcampaigns @WHO @DrTedros @DrMikeRyan Vaccination for all for all
76	Sun Nov 28 23:59:25 +0000 2021	1465108099472277517	-	CY	1	@s0n_dam @imcalledmilliee @calders67 @OhThisBloodyPC @PrisonPlanet For nearly a million Americans Covid was the devastating thing that ended their life altogether.
78	Sun Nov 28 23:59:24 +0000 2021	1465108095252762627	-	CL	0	@JasonLaCanfora I’m sure you think it’s due to COVID or he is a white supremacist.
80	Sun Nov 28 23:59:24 +0000 2021	1465108093533106180	-	CL	2	"@UPLIFTCharlest1 @JuddForCongress When you say it's getting worse, since when? Before COVID? Since the election?"
81	Sun Nov 28 23:59:23 +0000 2021	1465108090748030978	-	CR	1	"@austinvirts so so so mf jealous man, I had a trip planned and it got cancelled 2 days in advance due to covid measures.  not even getting refunded  enjoy brotha https://t.co/1RZvrgYLhX"
82	Sun Nov 28 23:59:23 +0000 2021	1465108089137414146	-	CV	0	@atrupar Interesting. So did she get her family vaccinated or did she intentionally expose them to Covid?
